,pdbid,predicted,real,set
0,2v7a,7.0768423,8.3,CASF2013
1,1kel,8.54627,7.28,CASF2013
2,3l7b,4.337873,2.4,CASF2013
3,1lol,5.9580574,6.39,CASF2013
4,2xys,6.3253527,7.42,CASF2013
5,3dd0,7.9500556,9.0,CASF2013
6,3d4z,5.461151,4.89,CASF2013
7,1n2v,6.033186,4.08,CASF2013
8,3b3w,5.7416577,4.19,CASF2013
9,2x00,8.6059065,11.33,CASF2013
10,1u33,4.620046,4.6,CASF2013
11,4tmn,8.231255,10.17,CASF2013
12,1xd0,4.993119,7.12,CASF2013
13,3acw,6.9846325,4.76,CASF2013
14,1uto,3.1783323,2.27,CASF2013
15,3vh9,4.861284,6.24,CASF2013
16,2wbg,6.4888253,4.45,CASF2013
17,3n86,6.797726,5.64,CASF2013
18,3f17,7.6412096,8.63,CASF2013
19,1bcu,5.000044,3.28,CASF2013
20,2qft,4.183538,5.26,CASF2013
21,1w4o,4.983391,5.22,CASF2013
22,2zx6,9.472692,10.6,CASF2013
23,3cft,6.0906706,4.19,CASF2013
24,3ueu,5.0321665,5.24,CASF2013
25,1f8b,5.4802966,5.4,CASF2013
26,3n7a,4.7306795,3.7,CASF2013
27,2xb8,7.235712,7.59,CASF2013
28,3dxg,4.205261,2.4,CASF2013
29,2x97,4.760007,5.66,CASF2013
30,1qi0,4.1940618,2.35,CASF2013
31,2obf,8.148696,8.85,CASF2013
32,3fcq,4.5146246,2.77,CASF2013
33,2wca,6.6362467,5.6,CASF2013
34,1o3f,7.437283,7.96,CASF2013
35,10gs,8.211251,6.4,CASF2013
36,3ao4,2.7682383,2.07,CASF2013
37,2ole,7.7558265,7.25,CASF2013
38,3kgp,4.0917683,2.57,CASF2013
39,3cj2,5.33304,4.85,CASF2013
40,2zxd,7.653934,5.22,CASF2013
41,3u9q,4.4376016,4.38,CASF2013
42,2g70,6.237095,7.77,CASF2013
43,1os0,7.8427463,6.03,CASF2013
44,3mss,4.79496,4.66,CASF2013
45,1q8t,5.353354,4.76,CASF2013
46,3coy,6.571039,6.02,CASF2013
47,3gy4,5.1204615,5.1,CASF2013
48,2pq9,8.581475,8.11,CASF2013
49,1z95,9.022577,7.12,CASF2013
50,2brb,6.787178,4.86,CASF2013
51,3pxf,4.8090715,4.43,CASF2013
52,2vl4,5.365274,6.01,CASF2013
53,1sln,7.791141,6.64,CASF2013
54,1f8d,5.4430146,3.4,CASF2013
55,2vot,7.198225,7.14,CASF2013
56,1gpk,7.4380193,5.37,CASF2013
57,1o5b,4.992424,5.77,CASF2013
58,4djr,10.340967,11.52,CASF2013
59,2wtv,8.321091,8.74,CASF2013
60,3utu,9.280136,10.92,CASF2013
61,3muz,3.3789074,3.46,CASF2013
62,3uex,5.807925,6.92,CASF2013
63,2d3u,6.524956,6.92,CASF2013
64,2xnb,6.4207687,6.83,CASF2013
65,3g0w,9.048811,9.52,CASF2013
66,3su5,6.8586354,5.58,CASF2013
67,2vw5,6.69924,8.52,CASF2013
68,3g2n,5.2337117,4.09,CASF2013
69,3b3s,4.749046,2.55,CASF2013
70,3su2,7.6850896,7.35,CASF2013
71,2j78,5.7559075,6.42,CASF2013
72,2xbv,8.976925,8.43,CASF2013
73,3imc,3.3044205,2.96,CASF2013
74,2yki,7.8898687,9.46,CASF2013
75,2p4y,7.438407,9.0,CASF2013
76,2xy9,8.9386215,9.19,CASF2013
77,4de1,5.4489307,5.96,CASF2013
78,3lka,6.117175,2.82,CASF2013
79,4dew,6.724937,7.0,CASF2013
80,3pww,7.1191835,7.32,CASF2013
81,2xdl,5.1026907,3.1,CASF2013
82,2hb1,3.9647222,3.8,CASF2013
83,3ge7,7.8267736,8.7,CASF2013
84,2vo5,6.16036,4.89,CASF2013
85,3ehy,6.4703975,5.85,CASF2013
86,3kv2,6.56566,7.32,CASF2013
87,1yc1,7.172741,6.17,CASF2013
88,2weg,5.720563,6.5,CASF2013
89,3jvs,6.849638,6.54,CASF2013
90,3fv1,9.216224,9.3,CASF2013
91,3ozt,7.258501,4.13,CASF2013
92,2cet,8.34394,8.02,CASF2013
93,1q8u,6.4793997,5.96,CASF2013
94,3ivg,5.887685,4.3,CASF2013
95,1p1q,7.6243644,4.89,CASF2013
96,3l3n,8.810837,8.18,CASF2013
97,1h23,9.021476,8.35,CASF2013
98,2zcq,7.727935,8.82,CASF2013
99,2yfe,6.030838,6.63,CASF2013
100,2d1o,8.600257,7.7,CASF2013
101,2qmj,7.5812182,4.21,CASF2013
102,3l4u,6.600137,7.52,CASF2013
103,1lor,8.280901,11.06,CASF2013
