,pdbid,predicted,real,set
0,2v7a,7.079863,8.3,CASF2016
1,4dld,6.847267,5.82,CASF2016
2,3l7b,3.954187,2.4,CASF2016
3,3zdg,7.27577,7.1,CASF2016
4,2xys,6.866215,7.42,CASF2016
5,3b65,9.186034,9.27,CASF2016
6,3dd0,8.646953,9.0,CASF2016
7,3d4z,5.881667,4.89,CASF2016
8,1owh,7.0234323,7.4,CASF2016
9,2x00,9.121677,11.33,CASF2016
10,4tmn,8.508404,10.17,CASF2016
11,3b5r,9.360986,8.77,CASF2016
12,1z6e,9.554223,9.72,CASF2016
13,3acw,5.342224,4.76,CASF2016
14,3rsx,5.0901775,4.41,CASF2016
15,1uto,2.8058603,2.27,CASF2016
16,3fur,7.353928,8.0,CASF2016
17,4u4s,5.6144066,2.92,CASF2016
18,2wbg,7.0374165,4.45,CASF2016
19,3n86,6.127683,5.64,CASF2016
20,1bcu,4.783776,3.28,CASF2016
21,1w4o,4.6533647,5.22,CASF2016
22,4ciw,5.3270183,4.82,CASF2016
23,4wiv,5.9029546,6.26,CASF2016
24,3coz,5.4950314,5.57,CASF2016
25,3ueu,5.0320144,5.24,CASF2016
26,3n7a,4.2327113,3.7,CASF2016
27,3ryj,8.390406,7.8,CASF2016
28,2xb8,7.139894,7.59,CASF2016
29,3dxg,3.8881607,2.4,CASF2016
30,2wvt,7.214237,6.12,CASF2016
31,3gr2,3.4171636,2.52,CASF2016
32,2c3i,7.1538057,7.6,CASF2016
33,4ih5,4.526226,4.11,CASF2016
34,3fcq,3.735656,2.77,CASF2016
35,4j28,8.006391,5.7,CASF2016
36,2wca,7.2915306,5.6,CASF2016
37,1o3f,7.094125,7.96,CASF2016
38,3ao4,3.4704726,2.07,CASF2016
39,3kgp,4.212905,2.57,CASF2016
40,3gv9,3.8784068,2.12,CASF2016
41,4ddk,3.371053,2.29,CASF2016
42,2xii,8.697756,7.2,CASF2016
43,4f09,6.8001957,6.7,CASF2016
44,1nc3,8.645478,5.0,CASF2016
45,2xj7,5.419827,6.66,CASF2016
46,1s38,5.6579065,5.15,CASF2016
47,3u9q,4.685689,4.38,CASF2016
48,4m0z,7.540744,5.19,CASF2016
49,3aru,4.1879168,3.22,CASF2016
50,3u8n,7.6960053,10.17,CASF2016
51,1syi,5.7974906,5.44,CASF2016
52,5tmn,6.930469,8.04,CASF2016
53,4bkt,4.496493,3.62,CASF2016
54,3arv,5.9411945,5.64,CASF2016
55,4f9w,6.0780954,6.94,CASF2016
56,1k1i,7.1914825,6.58,CASF2016
57,1g2k,9.578475,7.96,CASF2016
58,3mss,4.8027854,4.66,CASF2016
59,1q8t,4.3697834,4.76,CASF2016
60,2qbq,7.1951103,7.44,CASF2016
61,3coy,6.1145034,6.02,CASF2016
62,4mgd,6.0927477,4.69,CASF2016
63,3gy4,4.4296765,5.1,CASF2016
64,3up2,7.621993,7.4,CASF2016
